employee_id,name,age,gender,department,position,education,years_at_company,salary,performance_score,satisfaction_score,training_hours,projects_completed,absences_days,attrition,hire_date,city,remote_work,salary_band,tenure_group,engagement_index
EMP0001,James Robinson II,60,Female,Legal,Junior,PhD,1.0,122284.7,4.0,5,0.0,21,5,0,2010-02-04,Port Amychester,1,Upper-Mid,New (<2y),4.5
EMP0002,Andrea Romero,50,Male,Engineering,Senior,Bachelor,13.0,63447.6,4.0,4,49.0,10,9,0,2020-02-10,Richardland,1,Lower-Mid,Veteran (10y+),4.0
EMP0003,Jane Prince,36,Male,IT,Manager,PhD,1.0,73850.75,4.0,3,67.0,9,7,0,2023-07-15,Longshire,1,Mid,New (<2y),3.5
EMP0004,Cassandra French,29,Female,Operations,Manager,Master,3.0,46333.38,3.0,2,80.0,16,16,1,2021-10-01,Rachelview,1,Lower-Mid,Growing (2-5y),2.5
EMP0005,Kristi Rich,42,Non-binary,Finance,Mid-level,Bachelor,16.0,75137.31,5.0,5,0.0,13,24,0,2023-01-27,Derrickborough,0,Mid,Veteran (10y+),5.0
EMP0006,Tara Soto,60,Female,Marketing,Senior,High School,2.0,63107.37,2.0,4,36.0,21,11,1,2009-11-12,New Richardton,1,Lower-Mid,New (<2y),3.0
EMP0008,James Crawford,44,Female,Marketing,Manager,High School,8.0,85231.46,5.0,1,41.0,18,12,0,2022-09-13,Karenfort,0,Mid,Experienced (5-10y),3.0
EMP0009,Daniel Stout,32,Female,Finance,Manager,High School,6.0,47546.36,2.0,1,14.0,1,18,0,2015-08-13,East Jared,1,Lower-Mid,Experienced (5-10y),1.5
EMP0010,Phillip Johnson,32,Male,Marketing,Mid-level,Unknown,14.0,65954.72,4.0,2,32.0,6,11,0,2022-02-27,Pedroview,0,Lower-Mid,Veteran (10y+),3.0
EMP0011,Lisa Smith,45,Female,Engineering,Director,PhD,10.0,29905.46,3.0,4,79.0,8,15,0,2016-12-15,Lake Christopher,1,Entry,Experienced (5-10y),3.5
EMP0013,Emma Norris,61,Male,Legal,Junior,High School,1.0,72664.15,3.0,3,118.0,18,4,0,2020-12-20,East Stacy,1,Mid,New (<2y),3.0
EMP0015,Brenda Rios,24,Male,HR,Senior,High School,13.0,80989.41,5.0,3,101.0,21,15,0,2021-07-17,South Alexis,0,Mid,Veteran (10y+),4.0
EMP0016,Jessica Miller,43,Unknown,Marketing,Mid-level,High School,19.0,97598.07,4.0,4,23.0,24,24,0,2022-12-27,Clementsmouth,1,Mid,Veteran (10y+),4.0
EMP0017,Kenneth Howard,23,Male,Finance,Junior,Master,10.0,36508.34,3.0,4,63.0,15,5,0,2012-01-06,Port Richardview,0,Entry,Experienced (5-10y),3.5
EMP0018,Jasmine Cunningham,45,Male,Marketing,Junior,Bachelor,2.0,37843.07,4.0,2,117.0,17,10,0,2024-07-18,East Taylor,1,Entry,New (<2y),3.0
EMP0019,Madison Wagner,51,Male,Engineering,Senior,PhD,16.0,88223.95,5.0,3,79.0,22,16,0,2012-12-29,West Jeffrey,0,Mid,Veteran (10y+),4.0
EMP0021,Adam Wagner,23,Female,Marketing,Manager,Master,14.0,79582.51,5.0,1,97.0,20,13,0,2006-11-06,East Christopherfort,0,Mid,Veteran (10y+),3.0
EMP0023,Jason Parsons,54,Male,Finance,Manager,High School,4.0,114320.37,4.0,3,87.0,6,24,0,2017-06-05,Jonesview,0,Upper-Mid,Growing (2-5y),3.5
EMP0024,Jessica Duke,33,Male,Legal,Senior,High School,19.0,81261.31,3.0,5,87.0,8,22,0,2019-05-09,Julieburgh,0,Mid,Veteran (10y+),4.0
EMP0025,Matthew Hernandez,43,Male,HR,Senior,Bachelor,5.0,69521.1,2.0,3,72.0,3,10,0,2017-09-20,Chloeberg,1,Lower-Mid,Growing (2-5y),2.5
EMP0027,Scott Woods,48,Female,Engineering,Junior,Master,4.0,48414.95,4.0,3,75.0,29,12,1,2008-11-13,South Richardfurt,1,Lower-Mid,Growing (2-5y),3.5
EMP0028,Michael Sparks,49,Female,Operations,Junior,Master,2.0,53164.76,3.0,4,16.0,12,3,0,2012-01-23,West Edwardburgh,0,Lower-Mid,New (<2y),3.5
EMP0029,Katrina Ramirez,37,Female,HR,Senior,Master,0.0,43463.63,2.0,4,88.0,26,6,0,2011-10-28,East Victor,0,Lower-Mid,New (<2y),3.0
EMP0031,Gregory Nicholson,24,Unknown,Engineering,Senior,High School,14.0,76527.89,5.0,3,60.0,24,5,0,2008-10-13,Bullockton,1,Mid,Veteran (10y+),4.0
EMP0032,Jessica Townsend,58,Female,Operations,Senior,High School,1.0,87348.8,3.0,4,14.0,28,5,0,2016-04-18,West Grantside,1,Mid,New (<2y),3.5
EMP0033,Christy Hooper,28,Unknown,HR,Junior,High School,2.0,99035.54,3.0,4,93.0,3,17,0,2018-02-09,West James,0,Mid,New (<2y),3.5
EMP0034,Katelyn Barnes,42,Male,Marketing,Mid-level,High School,16.0,29381.9,3.0,3,50.0,18,19,0,2022-05-04,Lake Jonathonmouth,0,Entry,Veteran (10y+),3.0
EMP0035,Dennis Quinn,30,Non-binary,Engineering,Junior,Bachelor,11.0,70703.43,1.0,2,26.0,1,7,0,2010-10-18,Brooksmouth,0,Mid,Veteran (10y+),1.5
EMP0036,Ruth Ortiz,60,Male,HR,Mid-level,Bachelor,17.0,47295.89,4.0,2,85.0,8,7,0,2022-07-23,Port Paulborough,1,Lower-Mid,Veteran (10y+),3.0
EMP0038,Isaac Jones,25,Female,Legal,Manager,Master,11.0,133354.09,4.0,5,60.0,1,7,0,2012-07-17,Derekton,1,Upper-Mid,Veteran (10y+),4.5
EMP0039,Mark Schneider,46,Unknown,Finance,Director,PhD,15.0,82296.54,3.0,2,57.0,5,0,0,2014-05-06,Melindafort,0,Mid,Veteran (10y+),2.5
EMP0040,Carl Dunn,35,Non-binary,Marketing,Director,Unknown,7.0,97486.62,4.0,2,30.0,4,1,0,2019-08-17,Stephenville,1,Mid,Experienced (5-10y),3.0
EMP0041,Matthew Miller,30,Non-binary,Legal,Director,Master,13.0,124017.28,4.0,4,90.0,29,11,0,2022-03-26,Whitneyland,1,Upper-Mid,Veteran (10y+),4.0
EMP0042,Kyle Garza,47,Female,Engineering,Manager,High School,16.0,103183.96,4.0,3,11.0,4,14,0,2023-01-04,West Samantha,0,Upper-Mid,Veteran (10y+),3.5
EMP0043,Aaron Black,23,Female,HR,Junior,Master,7.0,63802.14,4.0,3,45.0,19,3,0,2017-08-18,Jessicaview,0,Lower-Mid,Experienced (5-10y),3.5
EMP0044,Billy Lane,41,Non-binary,Operations,Junior,Master,14.0,43104.2,4.0,2,30.0,21,24,0,2010-12-21,West Jason,0,Lower-Mid,Veteran (10y+),3.0
EMP0046,Jennifer Stein,28,Male,HR,Senior,High School,17.0,60807.36,3.0,5,31.0,26,13,0,2018-04-29,New Grant,1,Lower-Mid,Veteran (10y+),4.0
EMP0048,Lisa Allen,56,Male,Engineering,Junior,PhD,6.0,81023.12,3.0,3,108.0,28,22,1,2016-03-20,Erikatown,1,Mid,Experienced (5-10y),3.0
EMP0049,Mark Sutton,35,Non-binary,Marketing,Director,PhD,2.0,81647.16,4.0,4,98.0,8,7,0,2022-07-17,New Erika,1,Mid,New (<2y),4.0
EMP0050,Amber Hernandez,38,Non-binary,Marketing,Director,Master,11.0,119227.92,3.0,2,52.0,28,12,1,2008-11-10,Obrienhaven,0,Upper-Mid,Veteran (10y+),2.5
EMP0053,Michelle Velasquez,25,Male,Legal,Junior,PhD,13.0,58362.86,2.0,4,84.0,9,21,0,2007-04-29,South Benjaminview,0,Lower-Mid,Veteran (10y+),3.0
EMP0054,Ronald Lee,23,Female,Engineering,Senior,Bachelor,14.0,96829.24,2.0,3,73.0,15,4,0,2007-08-12,Lake Emily,0,Mid,Veteran (10y+),2.5
EMP0055,Amanda Hernandez,27,Unknown,Marketing,Manager,High School,0.0,71884.56,4.0,3,79.0,9,12,1,2011-02-08,North Amberfort,0,Mid,New (<2y),3.5
EMP0056,Mark Bentley,25,Male,Marketing,Manager,Bachelor,6.0,45685.21,4.0,1,6.0,28,19,0,2020-07-09,West Amanda,0,Lower-Mid,Experienced (5-10y),2.5
EMP0059,Keith Pope,47,Male,Finance,Mid-level,High School,19.0,81381.83,4.0,3,51.0,18,22,1,2006-11-01,North Scott,0,Mid,Veteran (10y+),3.5
EMP0060,Melissa Thomas,55,Male,Marketing,Director,PhD,3.0,101147.42,2.0,4,118.0,9,23,0,2024-09-25,Nelsonland,1,Upper-Mid,Growing (2-5y),3.0
EMP0061,Michael Walters,31,Non-binary,Engineering,Director,Unknown,8.0,38798.59,3.0,2,88.0,5,1,0,2009-10-12,North Amandaside,0,Entry,Experienced (5-10y),2.5
EMP0062,Sandy Johnston,57,Female,Engineering,Mid-level,PhD,5.0,53931.44,2.0,4,30.0,29,6,0,2018-12-26,Davisbury,1,Lower-Mid,Growing (2-5y),3.0
EMP0063,Patrick White,35,Male,Operations,Manager,Unknown,15.0,90994.68,2.0,4,74.0,16,5,0,2009-05-27,West Margaret,0,Mid,Veteran (10y+),3.0
EMP0065,Vickie Hill,36,Male,Engineering,Mid-level,Bachelor,7.0,81011.78,3.0,2,83.0,25,3,1,2008-05-21,Fieldsport,0,Mid,Experienced (5-10y),2.5
EMP0070,Amber Anthony,42,Female,Marketing,Mid-level,High School,17.0,66577.55,3.0,5,16.0,14,17,0,2018-09-22,Gloverfurt,0,Lower-Mid,Veteran (10y+),4.0
EMP0073,Claudia Young,45,Male,Marketing,Manager,PhD,14.0,104145.15,3.0,3,29.0,18,21,1,2009-01-21,East Andrew,0,Upper-Mid,Veteran (10y+),3.0
EMP0074,Alicia Richards,47,Female,Marketing,Senior,High School,0.0,69888.63,2.0,2,98.0,17,14,0,2009-12-10,Brandonbury,0,Lower-Mid,New (<2y),2.0
EMP0075,Eric Duarte,46,Male,Legal,Manager,PhD,10.0,71618.64,2.0,4,104.0,28,8,0,2019-10-05,Smithville,1,Mid,Experienced (5-10y),3.0
EMP0076,Tammy Coffey,50,Unknown,Marketing,Senior,PhD,12.0,100089.16,4.0,3,101.0,3,10,0,2009-12-04,Kevinburgh,1,Upper-Mid,Veteran (10y+),3.5
EMP0077,Sean Watts,36,Non-binary,HR,Manager,High School,0.0,133331.11,4.0,5,21.0,7,20,0,2014-08-18,Wardburgh,0,Upper-Mid,New (<2y),4.5
EMP0078,Susan Ford,22,Unknown,Marketing,Junior,High School,5.0,79807.07,5.0,3,116.0,26,24,0,2016-11-25,West Meganshire,1,Mid,Growing (2-5y),4.0
EMP0079,Maria Burns,46,Female,HR,Senior,Master,8.0,123926.59,4.0,3,42.0,15,24,0,2008-03-18,Keithview,0,Upper-Mid,Experienced (5-10y),3.5
EMP0080,Daniel Walker,28,Non-binary,Operations,Senior,Master,7.0,68964.64,5.0,4,111.0,23,16,0,2009-07-20,North Michelle,0,Lower-Mid,Experienced (5-10y),4.5
EMP0081,Kenneth Parker,30,Female,Marketing,Mid-level,High School,10.0,98799.01,1.0,5,114.0,18,20,0,2007-12-13,New Rachaelland,1,Mid,Experienced (5-10y),3.0
EMP0082,Lisa Powell,45,Non-binary,Marketing,Manager,Unknown,18.0,102528.89,2.0,4,26.0,19,8,1,2016-07-09,Matthewport,1,Upper-Mid,Veteran (10y+),3.0
EMP0083,Heidi Davis,22,Non-binary,Engineering,Director,Unknown,8.0,64750.99,1.0,3,36.0,2,22,0,2010-03-24,Hughesmouth,1,Lower-Mid,Experienced (5-10y),2.0
EMP0084,Steven Ball,29,Female,Legal,Director,Unknown,16.0,56323.05,3.0,4,45.0,9,15,1,2007-06-25,Medinaview,0,Lower-Mid,Veteran (10y+),3.5
EMP0085,Elizabeth Roberts,45,Female,IT,Mid-level,Bachelor,11.0,103634.73,3.0,4,112.0,1,5,0,2021-01-20,Port Robert,0,Upper-Mid,Veteran (10y+),3.5
EMP0086,Sherry Johnson,32,Non-binary,Marketing,Manager,Master,13.0,61711.08,4.0,3,34.0,3,21,0,2018-10-05,Ellisville,0,Lower-Mid,Veteran (10y+),3.5
EMP0087,Rachel Farmer,38,Female,Engineering,Junior,Unknown,14.0,52641.25,1.0,2,3.0,5,10,0,2018-10-09,South Christopher,0,Lower-Mid,Veteran (10y+),1.5
EMP0088,Chris Castillo,29,Female,Operations,Mid-level,Unknown,15.0,57901.01,5.0,3,79.0,10,22,0,2023-10-29,West Jermaine,0,Lower-Mid,Veteran (10y+),4.0
EMP0091,James Freeman,54,Male,Marketing,Manager,PhD,9.0,87876.07,2.0,3,25.0,26,14,0,2023-11-08,Ashleyburgh,0,Mid,Experienced (5-10y),2.5
EMP0092,Susan Moore,26,Female,IT,Senior,Bachelor,7.0,92891.46,2.0,5,99.0,20,0,0,2021-08-31,Johnland,0,Mid,Experienced (5-10y),3.5
EMP0093,Andrew Gray,60,Female,Marketing,Director,PhD,17.0,85534.5,2.0,3,18.0,18,21,0,2023-06-27,West Jennifer,1,Mid,Veteran (10y+),2.5
EMP0094,Barry Nash,49,Male,Marketing,Manager,Master,0.0,60154.0,2.0,4,80.0,1,19,0,2024-01-19,Andersonstad,0,Lower-Mid,New (<2y),3.0
