employee_id,name,age,gender,department,position,education,years_at_company,salary,performance_score,satisfaction_score,training_hours,projects_completed,absences_days,attrition,hire_date,city,remote_work
EMP0001,James Robinson II,60.0,F,Legal,Junior,PhD,1.0,122284.69623875848,4.0,5,,21,5,0,2010-02-04,Port Amychester,1
EMP0002,Andrea Romero,50.0,Male,Engineering,Senior,Bachelor,13.0,63447.59953371504,4.0,4,49.0,10,9,0,2020-02-10,Richardland,1
EMP0003,Jane Prince,36.0,Male,IT,Manager,PhD,1.0,73850.74980207137,4.0,3,67.0,9,7,0,2023-07-15,Longshire,1
EMP0004,Cassandra French,29.0,F,Operations,Manager,Master,3.0,46333.38213697741,3.0,2,80.0,16,16,1,2021-10-01,Rachelview,1
EMP0005,Kristi Rich,42.0,Non-binary,Finance,Mid-level,Bachelor,16.0,75137.31375608483,5.0,5,,13,24,0,2023-01-27,Derrickborough,0
EMP0006,Tara Soto,60.0,Female,Marketing,Senior,High School,2.0,63107.36840672008,2.0,4,36.0,21,11,1,2009-11-12,New Richardton,1
EMP0007,Dr. Heather Cox,40.0,Female,,Director,High School,12.0,72446.78899912501,5.0,3,45.0,3,16,0,2013-08-24,Marissaburgh,0
EMP0008,James Crawford,44.0,Female,Marketing,Manager,High School,8.0,85231.45968993107,5.0,1,41.0,18,12,0,2022-09-13,Karenfort,0
EMP0009,Daniel Stout,32.0,F,Finance,Manager,High School,6.0,47546.363049228836,2.0,1,14.0,1,18,0,2015-08-13,East Jared,1
EMP0010,Phillip Johnson,32.0,Male,MARKETING,Mid-level,,14.0,65954.71651918581,4.0,2,32.0,6,11,0,2022-02-27,Pedroview,0
EMP0011,Lisa Smith,45.0,F,Engineering,Director,PhD,10.0,29905.464455545545,,4,79.0,8,15,0,2016-12-15,Lake Christopher,1
EMP0012,Katrina Hughes,57.0,F,Engineering,Manager,Bachelor,19.0,459202.66684955783,3.0,5,10.0,27,24,1,2008-01-18,West Patriciashire,0
EMP0013,Emma Norris,61.0,M,Legal,Junior,High School,1.0,72664.14822707501,3.0,3,118.0,18,4,0,2020-12-20,East Stacy,1
EMP0014,Mary Adkins,45.0,Male,Finance,Director,,14.0,913962.9112925415,4.0,5,19.0,15,24,0,2006-11-28,Edwardbury,1
EMP0015,Brenda Rios,24.0,M,HR,Senior,High School,13.0,80989.41350908022,5.0,3,101.0,21,15,0,2021-07-17,South Alexis,0
EMP0016,Jessica Miller,43.0,,MARKETING,Mid-level,High School,19.0,97598.06876842139,4.0,4,23.0,24,24,0,2022-12-27,Clementsmouth,1
EMP0017,Kenneth Howard,23.0,Male,Finance,Junior,Master,10.0,36508.337018167,3.0,4,63.0,15,5,0,2012-01-06,Port Richardview,0
EMP0018,Jasmine Cunningham,45.0,Male,Marketing,Junior,Bachelor,2.0,37843.07425124265,4.0,2,117.0,17,10,0,2024-07-18,East Taylor,1
EMP0019,Madison Wagner,51.0,Male,eng,Senior,PhD,16.0,88223.948409813,5.0,3,79.0,22,16,0,2012-12-29,West Jeffrey,0
EMP0020,Rodney Leonard,59.0,Female,Finance,Mid-level,Master,11.0,,1.0,4,93.0,20,22,0,2026-04-27,Lake Stephanietown,1
EMP0021,Adam Wagner,23.0,Female,MARKETING,Manager,Master,14.0,79582.50530262484,5.0,1,97.0,20,13,0,2006-11-06,East Christopherfort,0
EMP0022,Richard Taylor,42.0,M,Finance,Mid-level,PhD,15.0,,2.0,3,64.0,10,5,0,2018-04-24,Webbfurt,0
EMP0023,Jason Parsons,54.0,M,Finance,Manager,High School,4.0,114320.36602292953,4.0,3,87.0,6,24,0,2017-06-05,Jonesview,0
EMP0024,Jessica Duke,33.0,Male,Legal,Senior,High School,19.0,81261.31019319444,3.0,5,87.0,8,22,0,2019-05-09,Julieburgh,0
EMP0025,Matthew Hernandez,43.0,M,HR,Senior,Bachelor,5.0,69521.09950717345,2.0,3,72.0,3,10,0,2017-09-20,Chloeberg,1
EMP0026,Deborah Johnson,46.0,Female,MARKETING,Junior,High School,18.0,667553.9300468457,,4,85.0,24,11,0,2021-02-19,South Donald,1
EMP0027,Scott Woods,48.0,F,Engineering,Junior,Master,4.0,48414.94983572623,4.0,3,75.0,29,12,1,2008-11-13,South Richardfurt,1
EMP0028,Michael Sparks,49.0,F,Operations,Junior,Master,2.0,53164.75914780479,3.0,4,16.0,12,3,0,2012-01-23,West Edwardburgh,0
EMP0029,Katrina Ramirez,37.0,F,HR,Senior,Master,0.0,43463.62915862228,2.0,4,88.0,26,6,0,2011-10-28,East Victor,0
EMP0030,Sonya Allison,36.0,M,HR,Manager,PhD,5.0,,4.0,5,91.0,25,1,1,2021-03-26,Masonborough,0
EMP0031,Gregory Nicholson,24.0,,eng,Senior,High School,14.0,76527.8902341847,5.0,3,60.0,24,5,0,2008-10-13,Bullockton,1
EMP0032,Jessica Townsend,58.0,Female,Operations,Senior,High School,1.0,87348.79679984301,3.0,4,14.0,28,5,0,2016-04-18,West Grantside,1
EMP0033,Christy Hooper,28.0,,HR,Junior,High School,2.0,99035.54213418857,3.0,4,93.0,3,17,0,2018-02-09,West James,0
